YEAR,streams,minutes_played,unique_tracks,unique_artists,unique_albums
2014,91,187.65,78,38,49
2015,899,2948.95,446,143,241
2016,2099,7256.73,507,178,260
2017,23859,82681.33,1693,767,1061
2018,123,363.4,101,88,90
2019,19312,66202.32,3213,1157,2027
2020,98712,302089.77,6901,2542,4328
2021,116134,403287.55,4654,1416,2632
2022,112486,380200.87,5495,1557,3009
2023,111443,367242.7,5956,1460,3153
2024,118047,385460.23,9464,2234,4939
2025,134174,454042.05,10038,2412,5294
2026,46580,168709.6,7286,2163,4186
